World League Ayuda
NA, Parliament, Congress,,,,,,,,,,,
SA, Andes, Amazon,,,,,,,,,,,
EU, Kings, Queens,,,,,,,,,,,
AnO, Samurai, Assassin,,,,,,,,,,,
NAF, Sahara, Nile,,,,,,,,,,,
Indies, Outcasts, Rejects,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,AnO,Assassin,Palestine,PAL,79,ISR,,,,,,,
TEAM,AnO,Assassin,Iraq,IRAQ,66,KUW,,,,,,,
TEAM,AnO,Assassin,Qatar,QAT,72,KSA,,,,,,,
# NAF,,,,,,,,,,,,,
TEAM,NAF,Sahara,Libya,LIB,40,EGY,,,,,,,
TEAM,NAF,Sahara,Ethiopia,ETH,74,SOM,,,,,,,
TEAM,NAF,Sahara,Tunisia,TUN,67,ALG,,,,,,,
TEAM,NAF,Sahara,Nigeria,NGA,56,NGR,,,,,,,
TEAM,NAF,Sahara,Mali,MALI,68,MOR,,,,,,,
TEAM,NAF,Sahara,Chad,CHAD,75,SUD,,,,,,,
TEAM,NAF,Sahara,Dem Rep of Congo,DRC,49,CAR,,,,,,,
TEAM,NAF,Nile,Egypt,EGY,72,LIB,,,,,,,
TEAM,NAF,Nile,Somalia,SOM,44,ETH,,,,,,,
TEAM,NAF,Nile,Algeria,ALG,51,TUN,,,,,,,
TEAM,NAF,Nile,Niger,NGR,56,NGA,,,,,,,
TEAM,NAF,Nile,Morocco,MOR,41,MALI,,,,,,,
TEAM,NAF,Nile,Sudan,SUD,58,CHAD,,,,,,,
TEAM,NAF,Nile,Central African Republic,CAR,69,DRC,,,,,,,
# Indies,,,,,,,,,,,,,
TEAM,Indies,Outcasts,Iceland,ICE,41,DEN,,,,,,,
TEAM,Indies,Outcasts,New Zealand,NZ,76,FIN,,,,,,,
TEAM,Indies,Outcasts,South Africa,SAF,40,UAE,,,,,,,
TEAM,Indies,Outcasts,Greece,GRE,48,TUR,,,,,,,
TEAM,Indies,Outcasts,Switzerland,SWI,92,SM,,,,,,,
TEAM,Indies,Outcasts,Ukraine,UKR,65,GEO,,,,,,,
TEAM,Indies,Outcasts,Afghanistan,AFG,61,KAZ,,,,,,,
TEAM,Indies,Rejects,Denmark,DEN,66,ICE,,,,,,,
TEAM,Indies,Rejects,Finland,FIN,61,NZ,,,,,,,
TEAM,Indies,Rejects,UAE,UAE,83,SAF,,,,,,,
TEAM,Indies,Rejects,Turkey,TUR,61,GRE,,,,,,,
TEAM,Indies,Rejects,San Marino,SM,42,SWI,,,,,,,
TEAM,Indies,Rejects,Georgia,GEO,41,UKR,,,,,,,
TEAM,Indies,Rejects,Kazakhstan,KAZ,77,AFG,,,,,,,
END_FILE,,,,,,,,,,,,,
